"id","eventTime","serverId","map","playerId"
489704,"2023-12-18 11:46:10",11,workshop/cp_sequoia_rc2d.ugc2710603590,71017
489702,"2023-12-18 11:45:23",11,workshop/cp_sequoia_rc2d.ugc2710603590,67668
489703,"2023-12-18 11:45:48",11,workshop/cp_sequoia_rc2d.ugc2710603590,86405
489701,"2023-12-18 11:45:19",11,workshop/cp_sequoia_rc2d.ugc2710603590,78482
489700,"2023-12-18 11:45:19",11,workshop/cp_sequoia_rc2d.ugc2710603590,12279
489699,"2023-12-18 11:45:17",11,workshop/cp_sequoia_rc2d.ugc2710603590,84530
489698,"2023-12-18 11:45:16",11,workshop/cp_sequoia_rc2d.ugc2710603590,70657
489697,"2023-12-18 11:45:15",11,workshop/cp_sequoia_rc2d.ugc2710603590,10345
489696,"2023-12-18 11:45:15",11,workshop/cp_sequoia_rc2d.ugc2710603590,70739
489695,"2023-12-18 11:45:15",11,workshop/cp_sequoia_rc2d.ugc2710603590,2
489694,"2023-12-18 11:45:14",11,workshop/cp_sequoia_rc2d.ugc2710603590,256
489693,"2023-12-18 11:44:29",11,workshop/cp_sequoia_rc2d.ugc2710603590,3288
489692,"2023-12-18 11:44:28",11,workshop/cp_sequoia_rc2d.ugc2710603590,86461
489691,"2023-12-18 11:44:28",11,workshop/cp_sequoia_rc2d.ugc2710603590,81665
489690,"2023-12-18 11:44:27",11,workshop/cp_sequoia_rc2d.ugc2710603590,9434
489689,"2023-12-18 11:44:27",11,workshop/cp_sequoia_rc2d.ugc2710603590,27950
489688,"2023-12-18 11:44:27",11,workshop/cp_sequoia_rc2d.ugc2710603590,70988
489657,"2023-12-18 11:18:59",11,workshop/pl_rottenburg_robo_rc7.ugc2627296448,86461
489658,"2023-12-18 11:21:12",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,9434
489659,"2023-12-18 11:21:29",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,223
489660,"2023-12-18 11:21:29",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,70657
489661,"2023-12-18 11:21:29",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,74104
489662,"2023-12-18 11:21:29",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,70988
489663,"2023-12-18 11:21:32",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,12279
489664,"2023-12-18 11:22:07",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,86461
489665,"2023-12-18 11:22:17",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,78482
489666,"2023-12-18 11:22:18",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,86405
489667,"2023-12-18 11:22:18",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,52846
489668,"2023-12-18 11:22:20",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,256
489669,"2023-12-18 11:22:24",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,225
489670,"2023-12-18 11:23:14",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,2
489671,"2023-12-18 11:23:27",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,27950
489672,"2023-12-18 11:23:29",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,72861
489673,"2023-12-18 11:23:37",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,65338
489674,"2023-12-18 11:23:47",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,67668
489675,"2023-12-18 11:24:10",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,10345
489676,"2023-12-18 11:24:11",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,81665
489677,"2023-12-18 11:27:09",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,70739
489678,"2023-12-18 11:28:43",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,56857
489679,"2023-12-18 11:29:57",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,3288
489680,"2023-12-18 11:35:51",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,84530
489681,"2023-12-18 11:39:26",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,72861
489682,"2023-12-18 11:40:51",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,86405
489683,"2023-12-18 11:44:24",11,workshop/cp_sequoia_rc2d.ugc2710603590,223
489684,"2023-12-18 11:44:25",11,workshop/cp_sequoia_rc2d.ugc2710603590,72861
489685,"2023-12-18 11:44:25",11,workshop/cp_sequoia_rc2d.ugc2710603590,225
489686,"2023-12-18 11:44:27",11,workshop/cp_sequoia_rc2d.ugc2710603590,52846
489687,"2023-12-18 11:44:27",11,workshop/cp_sequoia_rc2d.ugc2710603590,74104
490629,"2024-01-04 17:32:38",32,ctf_2fort,87280
490630,"2024-01-04 19:03:57",6,pl_barnblitz,87281
490631,"2024-01-04 21:43:40",32,ctf_2fort,87282
490632,"2024-01-05 10:35:26",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,73380
490633,"2024-01-05 10:52:51",4,pd_selbyen,87284
490634,"2024-01-05 10:52:59",4,pd_selbyen,87285
490635,"2024-01-05 10:53:14",4,pd_selbyen,87283
490636,"2024-01-05 11:17:48",4,pd_selbyen,10345
490637,"2024-01-05 11:20:12",6,pl_frontier_final,87286
490638,"2024-01-05 11:24:47",4,cp_granary,87287
490639,"2024-01-05 12:40:52",4,pl_barnblitz,10345
490640,"2024-01-05 14:51:39",11,workshop/pl_borneo_robo_rc1c.ugc2681250323,87288
490649,"2024-01-05 20:26:28",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,87290
490650,"2024-01-05 21:27:15",6,workshop/koth_brine_rc3a.ugc2965195337,86266
490651,"2024-01-05 23:42:08",6,pd_galleria,87291
490652,"2024-01-06 05:42:05",4,pl_phoenix,87292
490653,"2024-01-06 05:42:14",4,pl_phoenix,87293
490654,"2024-01-06 09:30:42",4,pd_selbyen,87294
490655,"2024-01-06 09:35:37",4,pd_selbyen,87295
490656,"2024-01-06 10:03:04",11,workshop/pl_mannhattan_rc1c.ugc2820231221,86708
490657,"2024-01-06 10:03:34",11,workshop/pl_mannhattan_rc1c.ugc2820231221,87296
490658,"2024-01-06 10:03:51",11,workshop/pl_mannhattan_rc1c.ugc2820231221,86708
490659,"2024-01-06 11:21:56",35,workshop/cp_junction_reborn_robo_rc1.ugc3045022913,11973
490660,"2024-01-06 13:53:40",11,workshop/pl_mannhattan_rc1c.ugc2820231221,2
490661,"2024-01-06 14:18:48",4,pl_upward,87249
490662,"2024-01-06 14:20:39",4,pl_upward,87250
490663,"2024-01-06 14:35:43",4,pl_upward,87298
490664,"2024-01-06 14:41:03",4,cp_steel,87299
490665,"2024-01-06 14:41:21",4,cp_steel,87249
489983,"2023-12-23 03:42:45",4,pl_upward,65338
489984,"2023-12-23 03:48:37",4,pl_upward,65338
489982,"2023-12-23 03:19:35",4,pl_cashworks,87132
489979,"2023-12-22 14:37:35",11,workshop/pl_calamity_mm_b5a.ugc2897811023,87131
489980,"2023-12-22 16:27:54",32,ctf_2fort,86905
489978,"2023-12-22 13:19:33",32,ctf_2fort,87130
489976,"2023-12-22 13:18:21",32,ctf_2fort,3182
489977,"2023-12-22 13:19:20",32,ctf_2fort,12699
489975,"2023-12-22 13:06:56",11,workshop/cp_junction_reborn_robo_rc1.ugc3045022913,87122
489974,"2023-12-22 12:28:05",11,workshop/ad_process_a10.ugc2910353343,85950
489973,"2023-12-22 12:27:48",11,workshop/ad_process_a10.ugc2910353343,78482
489972,"2023-12-22 12:27:48",11,workshop/ad_process_a10.ugc2910353343,20737
489971,"2023-12-22 12:27:38",11,workshop/ad_process_a10.ugc2910353343,71017
489958,"2023-12-22 12:02:41",11,workshop/pl_underground_robo_rc2b.ugc2684277276,2
487077,"2023-10-28 10:48:31",11,workshop/pl_calamity_mm_b5a.ugc2897811023,223
487078,"2023-10-28 10:54:11",11,workshop/pl_calamity_mm_b5a.ugc2897811023,56857
487079,"2023-10-28 10:58:08",11,workshop/pl_calamity_mm_b5a.ugc2897811023,12279
489970,"2023-12-22 12:27:33",11,workshop/ad_process_a10.ugc2910353343,25413
489969,"2023-12-22 12:27:28",11,workshop/ad_process_a10.ugc2910353343,27950
489968,"2023-12-22 12:27:28",11,workshop/ad_process_a10.ugc2910353343,78412
489967,"2023-12-22 12:19:30",11,workshop/pl_underground_robo_rc2b.ugc2684277276,85950
489966,"2023-12-22 12:10:54",11,workshop/pl_underground_robo_rc2b.ugc2684277276,53073
