"id","eventTime","serverId","map","playerId","role"
1473779,"2024-01-05 18:33:53",32,ctf_2fort,87289,scout
1473780,"2024-01-05 18:36:13",32,ctf_2fort,87270,spy
1473781,"2024-01-05 18:36:32",32,ctf_2fort,87289,spy
1473782,"2024-01-05 18:36:32",32,ctf_2fort,87270,scout
1473783,"2024-01-05 18:37:07",32,ctf_2fort,87289,scout
1473784,"2024-01-05 18:39:00",32,ctf_2fort,87270,pyro
1473785,"2024-01-05 18:39:26",32,ctf_2fort,87289,spy
1473786,"2024-01-05 19:16:51",35,workshop/pl_mannhattan_rc1c.ugc2820231221,71779,sniper
1473787,"2024-01-05 19:16:54",35,workshop/pl_mannhattan_rc1c.ugc2820231221,71779,spy
1473788,"2024-01-05 19:29:25",35,workshop/pl_underground_robo_rc2b.ugc2684277276,71779,soldier
1473789,"2024-01-05 19:29:40",35,workshop/pl_underground_robo_rc2b.ugc2684277276,71779,spy
1473790,"2024-01-05 19:30:30",35,workshop/pl_underground_robo_rc2b.ugc2684277276,87290,heavyweapons
1473791,"2024-01-05 19:31:00",35,workshop/pl_underground_robo_rc2b.ugc2684277276,71779,medic
1473792,"2024-01-05 19:32:09",35,workshop/pl_underground_robo_rc2b.ugc2684277276,87290,soldier
1473793,"2024-01-05 19:35:00",35,workshop/pl_underground_robo_rc2b.ugc2684277276,87290,sniper
1473794,"2024-01-05 19:35:55",35,workshop/pl_underground_robo_rc2b.ugc2684277276,87290,heavyweapons
1473795,"2024-01-05 19:37:14",35,workshop/pl_underground_robo_rc2b.ugc2684277276,71779,pyro
1473796,"2024-01-05 19:39:18",35,workshop/pl_underground_robo_rc2b.ugc2684277276,71779,scout
1473797,"2024-01-05 19:40:51",35,workshop/pl_underground_robo_rc2b.ugc2684277276,71779,sniper
1473798,"2024-01-05 19:42:43",35,workshop/pl_underground_robo_rc2b.ugc2684277276,71779,soldier
1473799,"2024-01-05 19:42:44",35,workshop/pl_underground_robo_rc2b.ugc2684277276,87290,spy
1473800,"2024-01-05 19:44:12",35,workshop/pl_underground_robo_rc2b.ugc2684277276,71779,scout
1473801,"2024-01-05 19:47:40",35,workshop/pl_underground_robo_rc2b.ugc2684277276,87290,demoman
1473802,"2024-01-05 19:49:01",35,workshop/pl_underground_robo_rc2b.ugc2684277276,87290,heavyweapons
1473803,"2024-01-05 19:51:17",35,workshop/pl_decoy_robo_rc3.ugc3035513839,71779,spy
1473804,"2024-01-05 19:51:43",35,workshop/pl_decoy_robo_rc3.ugc3035513839,87290,scout
1473805,"2024-01-05 19:51:46",35,workshop/pl_decoy_robo_rc3.ugc3035513839,71779,heavyweapons
1473806,"2024-01-05 19:52:57",35,workshop/pl_decoy_robo_rc3.ugc3035513839,87290,pyro
1473807,"2024-01-05 19:55:58",35,workshop/pl_decoy_robo_rc3.ugc3035513839,87290,engineer
1473808,"2024-01-05 19:56:50",35,workshop/pl_decoy_robo_rc3.ugc3035513839,71779,spy
1473809,"2024-01-05 20:00:02",35,workshop/pl_decoy_robo_rc3.ugc3035513839,71779,demoman
1473810,"2024-01-05 20:05:52",35,workshop/pl_decoy_robo_rc3.ugc3035513839,71779,sniper
1473811,"2024-01-05 20:09:55",35,workshop/pl_decoy_robo_rc3.ugc3035513839,71779,demoman
1473812,"2024-01-05 20:12:01",35,workshop/pl_decoy_robo_rc3.ugc3035513839,87290,demoman
1473813,"2024-01-05 20:12:04",35,workshop/pl_decoy_robo_rc3.ugc3035513839,71779,scout
1473814,"2024-01-05 20:14:24",35,workshop/pl_decoy_robo_rc3.ugc3035513839,87290,sniper
1473815,"2024-01-05 20:17:10",35,workshop/pl_decoy_robo_rc3.ugc3035513839,87290,pyro
1473816,"2024-01-05 20:18:53",35,workshop/pl_decoy_robo_rc3.ugc3035513839,87290,demoman
1473817,"2024-01-05 20:20:09",35,workshop/pl_decoy_robo_rc3.ugc3035513839,71779,soldier
1473818,"2024-01-05 20:22:43",35,workshop/pl_decoy_robo_rc3.ugc3035513839,71779,heavyweapons
1473819,"2024-01-05 20:24:37",35,workshop/pl_decoy_robo_rc3.ugc3035513839,71779,demoman
1473820,"2024-01-05 20:26:41",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,87290,soldier
1473821,"2024-01-05 20:27:01",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,71779,engineer
1473822,"2024-01-05 20:28:22",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,87290,pyro
1473823,"2024-01-05 20:31:12",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,87290,demoman
1473824,"2024-01-05 20:33:27",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,71779,demoman
1473825,"2024-01-05 20:33:39",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,87290,heavyweapons
1473826,"2024-01-05 20:34:37",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,87290,demoman
1473827,"2024-01-05 20:34:40",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,71779,engineer
1473828,"2024-01-05 20:38:28",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,87290,heavyweapons
1473829,"2024-01-05 20:40:55",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,87290,demoman
1473830,"2024-01-05 20:42:14",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,71779,pyro
1473831,"2024-01-05 20:47:31",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,71779,sniper
1473832,"2024-01-05 20:47:48",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,87290,soldier
1473833,"2024-01-05 20:48:57",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,71779,soldier
1473834,"2024-01-05 20:50:02",35,workshop/pl_bigrock_robo_rc8.ugc2617651502,71779,scout
1473835,"2024-01-05 21:27:26",6,workshop/koth_brine_rc3a.ugc2965195337,86266,soldier
1473836,"2024-01-05 23:42:19",6,pd_galleria,87291,scout
1473837,"2024-01-06 05:42:18",4,pl_phoenix,87292,soldier
1473838,"2024-01-06 05:42:25",4,pl_phoenix,87293,soldier
1473839,"2024-01-06 05:43:53",4,pl_phoenix,87292,pyro
1473840,"2024-01-06 05:47:25",4,pl_phoenix,87292,spy
1473841,"2024-01-06 05:47:30",4,pl_phoenix,87292,pyro
1473842,"2024-01-06 05:47:58",4,pl_phoenix,87293,sniper
1473843,"2024-01-06 05:49:09",4,pl_phoenix,87292,spy
1473844,"2024-01-06 05:49:14",4,pl_phoenix,87293,engineer
1473845,"2024-01-06 05:50:17",4,pl_phoenix,87292,soldier
1473846,"2024-01-06 05:50:48",4,pl_phoenix,87292,demoman
1473847,"2024-01-06 05:52:03",4,pl_phoenix,87292,spy
1473848,"2024-01-06 05:53:38",4,pl_phoenix,87292,demoman
1473849,"2024-01-06 09:31:18",4,pd_selbyen,87294,medic
1473850,"2024-01-06 09:31:56",4,pd_selbyen,87294,sniper
1473851,"2024-01-06 09:35:45",4,pd_selbyen,87295,heavyweapons
1473852,"2024-01-06 10:03:52",11,workshop/pl_mannhattan_rc1c.ugc2820231221,87296,heavyweapons
1473853,"2024-01-06 10:04:13",11,workshop/pl_mannhattan_rc1c.ugc2820231221,86708,medic
1473854,"2024-01-06 10:05:24",11,workshop/pl_mannhattan_rc1c.ugc2820231221,86708,soldier
1473855,"2024-01-06 11:22:03",35,workshop/cp_junction_reborn_robo_rc1.ugc3045022913,11973,soldier
1473856,"2024-01-06 11:22:51",35,workshop/cp_junction_reborn_robo_rc1.ugc3045022913,11973,pyro
1473857,"2024-01-06 11:23:12",35,workshop/cp_junction_reborn_robo_rc1.ugc3045022913,11973,heavyweapons
1473858,"2024-01-06 11:23:34",35,workshop/cp_junction_reborn_robo_rc1.ugc3045022913,11973,soldier
1473859,"2024-01-06 13:53:45",11,workshop/pl_mannhattan_rc1c.ugc2820231221,2,heavyweapons
1473860,"2024-01-06 13:55:10",11,workshop/pl_mannhattan_rc1c.ugc2820231221,2,soldier
1473861,"2024-01-06 14:19:14",4,pl_upward,87249,scout
1473862,"2024-01-06 14:20:44",4,pl_upward,87250,scout
1473863,"2024-01-06 14:23:17",4,pl_upward,87250,heavyweapons
1473864,"2024-01-06 14:24:32",4,pl_upward,87249,sniper
1473865,"2024-01-06 14:25:55",4,pl_upward,87249,heavyweapons
1473866,"2024-01-06 14:26:20",4,pl_upward,87249,sniper
1473867,"2024-01-06 14:27:14",4,pl_upward,87249,scout
1473868,"2024-01-06 14:27:31",4,pl_upward,87249,demoman
1473869,"2024-01-06 14:27:51",4,pl_upward,87249,engineer
1473870,"2024-01-06 14:27:53",4,pl_upward,87249,demoman
1473871,"2024-01-06 14:28:07",4,pl_upward,87249,engineer
1473872,"2024-01-06 14:29:33",4,pl_upward,87249,spy
1473873,"2024-01-06 14:30:35",4,pl_upward,87250,scout
1473874,"2024-01-06 14:30:58",4,pl_upward,87249,scout
1473875,"2024-01-06 14:32:01",4,pl_upward,87249,engineer
