"id","eventTime","serverId","map","playerId","actionId","bonus","pos_x","pos_y","pos_z"
10544749,"2023-11-19 09:31:18",4,pd_selbyen,78412,67,0,,,
10544750,"2023-11-19 09:31:18",4,pd_selbyen,70739,86,0,,,
10544751,"2023-11-19 09:31:19",4,pd_selbyen,2,737,5,,,
10544752,"2023-11-19 09:31:19",4,pd_selbyen,49173,86,0,,,
10544753,"2023-11-19 09:31:20",4,pd_selbyen,70739,86,0,,,
10544754,"2023-11-19 09:31:21",4,pd_selbyen,3288,5,2,948,1156,252
10544755,"2023-11-19 09:31:21",4,pd_selbyen,78412,65,2,,,
10544756,"2023-11-19 09:31:21",4,pd_selbyen,70739,86,0,,,
10544757,"2023-11-19 09:31:22",4,pd_selbyen,9434,73,0,,,
10544758,"2023-11-19 09:31:22",4,pd_selbyen,11529,75,0,,,
10544759,"2023-11-19 09:31:23",4,pd_selbyen,2,739,1,,,
10544760,"2023-11-19 09:31:23",4,pd_selbyen,2,739,1,,,
10544761,"2023-11-19 09:31:24",4,pd_selbyen,9434,1,1,-47,801,164
10544762,"2023-11-19 09:31:25",4,pd_selbyen,2,5,2,-102,1908,226
10544763,"2023-11-19 09:31:25",4,pd_selbyen,9434,30,5,,,
10544764,"2023-11-19 09:31:27",4,pd_selbyen,3288,5,2,795,1496,270
10544765,"2023-11-19 09:31:37",4,pd_selbyen,11529,5,2,-140,1839,225
10544766,"2023-11-19 09:31:37",4,pd_selbyen,70739,67,0,,,
10544767,"2023-11-19 09:31:37",4,pd_selbyen,49173,1,1,541,1753,254
10544768,"2023-11-19 09:31:38",4,pd_selbyen,11529,5,2,403,1764,239
10544769,"2023-11-19 09:31:40",4,pd_selbyen,70739,86,0,,,
10544770,"2023-11-19 09:31:40",4,pd_selbyen,78412,1,1,491,1312,352
10544771,"2023-11-19 09:31:40",4,pd_selbyen,3288,5,2,862,1792,257
10544772,"2023-11-19 09:31:41",4,pd_selbyen,3288,33,1,,,
10544773,"2023-11-19 09:31:42",4,pd_selbyen,9434,5,2,336,1798,232
10544774,"2023-11-19 09:31:42",4,pd_selbyen,9434,5,2,653,1816,270
10544775,"2023-11-19 09:31:42",4,pd_selbyen,78412,67,0,,,
10544776,"2023-11-19 09:31:43",4,pd_selbyen,78412,1,1,821,1630,263
10544777,"2023-11-19 09:31:43",4,pd_selbyen,9434,5,2,675,2456,498
10544778,"2023-11-19 09:31:44",4,pd_selbyen,78412,5,2,905,1724,258
10544779,"2023-11-19 09:31:45",4,pd_selbyen,78412,86,0,,,
10544780,"2023-11-19 09:31:55",4,pd_selbyen,70739,86,0,,,
10544781,"2023-11-19 09:31:56",4,pd_selbyen,78412,5,2,632,2389,451
10544782,"2023-11-19 09:31:56",4,pd_selbyen,70739,86,0,,,
10544783,"2023-11-19 09:31:56",4,pd_selbyen,78412,86,0,,,
10544784,"2023-11-19 09:31:57",4,pd_selbyen,78412,86,0,,,
10544785,"2023-11-19 09:31:58",4,pd_selbyen,70739,86,0,,,
10544786,"2023-11-19 09:31:58",4,pd_selbyen,78412,86,0,,,
10544787,"2023-11-19 09:31:58",4,pd_selbyen,70739,67,0,,,
10544788,"2023-11-19 09:31:59",4,pd_selbyen,70739,5,2,562,807,168
10544789,"2023-11-19 09:32:00",4,pd_selbyen,70739,86,0,,,
10544790,"2023-11-19 09:32:00",4,pd_selbyen,78412,86,0,,,
10544791,"2023-11-19 09:32:00",4,pd_selbyen,201,1,1,404,-267,32
10544792,"2023-11-19 09:32:01",4,pd_selbyen,78412,5,2,381,-113,185
10544793,"2023-11-19 09:32:01",4,pd_selbyen,78412,32,1,,,
10544794,"2023-11-19 09:32:03",4,pd_selbyen,201,5,2,387,-181,37
10544795,"2023-11-19 09:32:03",4,pd_selbyen,70739,86,0,,,
10544796,"2023-11-19 09:32:03",4,pd_selbyen,7268,1,1,741,-22,128
10544797,"2023-11-19 09:32:04",4,pd_selbyen,70739,5,2,115,-441,-10
10544798,"2023-11-19 09:32:04",4,pd_selbyen,7268,30,5,,,
10544799,"2023-11-19 09:32:05",4,pd_selbyen,7268,68,7,,,
10544800,"2023-11-19 09:32:06",4,pd_selbyen,11529,5,2,64,-370,-5
10544801,"2023-11-19 09:32:06",4,pd_selbyen,11529,75,0,,,
10544802,"2023-11-19 09:32:08",4,pd_selbyen,78412,67,0,,,
10544803,"2023-11-19 09:32:08",4,pd_selbyen,3288,5,2,1210,-1074,-63
10544804,"2023-11-19 09:32:09",4,pd_selbyen,70739,86,0,,,
10544805,"2023-11-19 09:32:09",4,pd_selbyen,49173,67,0,,,
10544806,"2023-11-19 09:32:10",4,pd_selbyen,2,5,2,803,-998,128
10544807,"2023-11-19 09:32:11",4,pd_selbyen,2,739,1,,,
10544808,"2023-11-19 09:32:11",4,pd_selbyen,9434,1,1,205,-1673,-75
10544809,"2023-11-19 09:32:12",4,pd_selbyen,2,5,2,826,-799,128
10544810,"2023-11-19 09:32:12",4,pd_selbyen,9434,30,5,,,
10544811,"2023-11-19 09:32:15",4,pd_selbyen,70739,86,0,,,
10544812,"2023-11-19 09:32:30",4,pd_selbyen,70739,86,0,,,
10544813,"2023-11-19 09:32:30",4,pd_selbyen,70739,5,2,790,-869,128
10544814,"2023-11-19 09:32:31",4,pd_selbyen,78412,67,0,,,
10544815,"2023-11-19 09:32:31",4,pd_selbyen,78412,67,0,,,
10544816,"2023-11-19 09:32:31",4,pd_selbyen,3288,742,0,,,
10544817,"2023-11-19 09:32:32",4,pd_selbyen,3288,743,0,,,
10544818,"2023-11-19 09:32:32",4,pd_selbyen,49173,86,0,,,
10544819,"2023-11-19 09:32:34",4,pd_selbyen,49173,67,0,,,
10544820,"2023-11-19 09:32:34",4,pd_selbyen,49173,70,0,,,
10544821,"2023-11-19 09:32:34",4,pd_selbyen,49173,67,0,,,
10544822,"2023-11-19 09:32:35",4,pd_selbyen,11529,75,0,,,
